LOCATION,INDICATOR,TIME,Value
NOR,GGNLEND,2016,4.036251197
NOR,GGNLEND,2017,4.957444894
NOR,GGNLEND,2018,7.813719303
NOR,GGNLEND,2019,6.522494
NOR,GGNLEND,2020,-2.55949965
NOR,GGNLEND,2021,10.60800832
NOR,GGNLEND,2022,25.96855943
POL,GGNLEND,2000,-3.994345897
POL,GGNLEND,2001,-4.741359456
POL,GGNLEND,2002,-4.817572709
POL,GGNLEND,2003,-6.036106862
POL,GGNLEND,2004,-5.007764516
POL,GGNLEND,2005,-3.938305756
POL,GGNLEND,2006,-3.539452288
POL,GGNLEND,2007,-1.882513634
POL,GGNLEND,2008,-3.60610188
POL,GGNLEND,2009,-7.252054445
POL,GGNLEND,2010,-7.465239046
POL,GGNLEND,2011,-5.004373597
POL,GGNLEND,2012,-3.815930538
POL,GGNLEND,2013,-4.268136328
POL,GGNLEND,2014,-3.668689343
POL,GGNLEND,2015,-2.600041925
POL,GGNLEND,2016,-2.399086987
POL,GGNLEND,2017,-1.492389023
POL,GGNLEND,2018,-0.249470258
POL,GGNLEND,2019,-0.743240527
POL,GGNLEND,2020,-6.922870274
POL,GGNLEND,2021,-1.831602758
POL,GGNLEND,2022,-3.740248349
PRT,GGNLEND,2000,-3.216203598
PRT,GGNLEND,2001,-4.789865269
PRT,GGNLEND,2002,-3.334379415
PRT,GGNLEND,2003,-5.656042413
PRT,GGNLEND,2004,-6.183559723
PRT,GGNLEND,2005,-6.130314876
PRT,GGNLEND,2006,-4.180494643
PRT,GGNLEND,2007,-2.899225779
PRT,GGNLEND,2008,-3.699585212
PRT,GGNLEND,2009,-9.872563995
PRT,GGNLEND,2010,-11.39839163
PRT,GGNLEND,2011,-7.663221706
PRT,GGNLEND,2012,-6.179764602
PRT,GGNLEND,2013,-5.104507114
PRT,GGNLEND,2014,-7.356023397
PRT,GGNLEND,2015,-4.448783853
PRT,GGNLEND,2016,-1.935022606
PRT,GGNLEND,2017,-2.956015551
PRT,GGNLEND,2018,-0.348984115
PRT,GGNLEND,2019,0.115330817
PRT,GGNLEND,2020,-5.81940774
PRT,GGNLEND,2021,-2.894398247
PRT,GGNLEND,2022,-0.394719714
SVK,GGNLEND,2000,-12.6309704
SVK,GGNLEND,2001,-7.220462319
SVK,GGNLEND,2002,-8.220629797
SVK,GGNLEND,2003,-3.120192052
SVK,GGNLEND,2004,-2.314207376
SVK,GGNLEND,2005,-2.874340724
SVK,GGNLEND,2006,-3.578475881
SVK,GGNLEND,2007,-2.050366168
SVK,GGNLEND,2008,-2.523424005
SVK,GGNLEND,2009,-8.149337242
SVK,GGNLEND,2010,-7.472848049
SVK,GGNLEND,2011,-4.303494591
SVK,GGNLEND,2012,-4.35185653
SVK,GGNLEND,2013,-2.877902564
SVK,GGNLEND,2014,-3.104033495
SVK,GGNLEND,2015,-2.665025985
SVK,GGNLEND,2016,-2.574435401
SVK,GGNLEND,2017,-0.979628209
SVK,GGNLEND,2018,-1.010918613
SVK,GGNLEND,2019,-1.20709601
SVK,GGNLEND,2020,-5.35031145
SVK,GGNLEND,2021,-5.430524805
SVK,GGNLEND,2022,-2.03715541
ESP,GGNLEND,2000,-1.16076073
ESP,GGNLEND,2001,-0.454926083
ESP,GGNLEND,2002,-0.316722522
ESP,GGNLEND,2003,-0.375062635
ESP,GGNLEND,2004,-0.109490283
ESP,GGNLEND,2005,1.231564543
ESP,GGNLEND,2006,2.124079644
ESP,GGNLEND,2007,1.88621705
ESP,GGNLEND,2008,-4.572251048
ESP,GGNLEND,2009,-11.27591944
ESP,GGNLEND,2010,-9.526628377
ESP,GGNLEND,2011,-9.739575451
ESP,GGNLEND,2012,-11.55072621
ESP,GGNLEND,2013,-7.528140636
ESP,GGNLEND,2014,-6.110450432
ESP,GGNLEND,2015,-5.308916122
ESP,GGNLEND,2016,-4.297571831
ESP,GGNLEND,2017,-3.116408543
ESP,GGNLEND,2018,-2.593659224
ESP,GGNLEND,2019,-3.060265128
ESP,GGNLEND,2020,-10.12523379
ESP,GGNLEND,2021,-6.87297923
ESP,GGNLEND,2022,-4.805637522
SWE,GGNLEND,2000,3.136389703
SWE,GGNLEND,2001,1.406460998
SWE,GGNLEND,2002,-1.409094128
SWE,GGNLEND,2003,-1.216326232
SWE,GGNLEND,2004,0.20203562
SWE,GGNLEND,2005,1.802847751
SWE,GGNLEND,2006,2.090452925
SWE,GGNLEND,2007,3.295236122
SWE,GGNLEND,2008,1.908856114
SWE,GGNLEND,2009,-0.848655575
SWE,GGNLEND,2010,-0.101634747
SWE,GGNLEND,2011,-0.348694508
SWE,GGNLEND,2012,-1.124473229
SWE,GGNLEND,2013,-1.470777893
SWE,GGNLEND,2014,-1.534363706
SWE,GGNLEND,2015,0.003074778
SWE,GGNLEND,2016,0.998815184
SWE,GGNLEND,2017,1.408555156
SWE,GGNLEND,2018,0.782759005
SWE,GGNLEND,2019,0.563943537
SWE,GGNLEND,2020,-2.771220541
SWE,GGNLEND,2021,0.022097971
SWE,GGNLEND,2022,0.736289674
CHE,GGNLEND,2000,0.281967573
CHE,GGNLEND,2001,0.207575138
CHE,GGNLEND,2002,-1.746969168
CHE,GGNLEND,2003,-1.359106112
CHE,GGNLEND,2004,-1.391233819
CHE,GGNLEND,2005,-0.645829102
CHE,GGNLEND,2006,0.846512112
CHE,GGNLEND,2007,1.575889312
CHE,GGNLEND,2008,1.933603636
CHE,GGNLEND,2009,0.497601255
CHE,GGNLEND,2010,0.353915183
CHE,GGNLEND,2011,0.683409661
CHE,GGNLEND,2012,0.235231939
CHE,GGNLEND,2013,-0.43256638
CHE,GGNLEND,2014,-0.247108563
CHE,GGNLEND,2015,0.545515747
CHE,GGNLEND,2016,0.238305522
CHE,GGNLEND,2017,1.13047758
CHE,GGNLEND,2018,1.290389265
CHE,GGNLEND,2019,1.341105752
CHE,GGNLEND,2020,-3.059396956
CHE,GGNLEND,2021,-0.540009155
GBR,GGNLEND,2000,1.318720638
GBR,GGNLEND,2001,0.300439265
GBR,GGNLEND,2002,-1.993512461
GBR,GGNLEND,2003,-3.247186774
GBR,GGNLEND,2004,-3.206087259
GBR,GGNLEND,2005,-3.19410021
GBR,GGNLEND,2006,-2.815790206
GBR,GGNLEND,2007,-2.700169234
GBR,GGNLEND,2008,-5.176214009
GBR,GGNLEND,2009,-10.10347436
GBR,GGNLEND,2010,-9.253706165
GBR,GGNLEND,2011,-7.436016226
GBR,GGNLEND,2012,-8.039149192
GBR,GGNLEND,2013,-5.352870679
GBR,GGNLEND,2014,-5.542919444
GBR,GGNLEND,2015,-4.570124487
GBR,GGNLEND,2016,-3.2816344
GBR,GGNLEND,2017,-2.469103236
GBR,GGNLEND,2018,-2.247463394
GBR,GGNLEND,2019,-2.451138071
GBR,GGNLEND,2020,-13.09413091
GBR,GGNLEND,2021,-8.002260548
GBR,GGNLEND,2022,-5.242493893
USA,GGNLEND,2000,0.335568833
USA,GGNLEND,2001,-1.847424038
USA,GGNLEND,2002,-5.303192173
USA,GGNLEND,2003,-6.414336029
USA,GGNLEND,2004,-5.775042817
USA,GGNLEND,2005,-4.447719442
USA,GGNLEND,2006,-3.333419227
USA,GGNLEND,2007,-3.979303076
USA,GGNLEND,2008,-7.342535766
USA,GGNLEND,2009,-13.0999304
