location,INDICATOR,TIME,Value
SWE,TAXREV,2006,45.908
SWE,TAXREV,2007,44.912
SWE,TAXREV,2008,43.967
SWE,TAXREV,2009,43.697
SWE,TAXREV,2010,42.877
SWE,TAXREV,2011,41.962
SWE,TAXREV,2012,42.125
SWE,TAXREV,2013,42.5
SWE,TAXREV,2014,42.178
SWE,TAXREV,2015,42.629
SWE,TAXREV,2016,44.092
SWE,TAXREV,2017,44.093
SWE,TAXREV,2018,43.774
SWE,TAXREV,2019,42.833
SWE,TAXREV,2020,42.322
SWE,TAXREV,2021,42.578
CHE,TAXREV,2000,26.973
CHE,TAXREV,2001,26.288
CHE,TAXREV,2002,26.875
CHE,TAXREV,2003,26.207
CHE,TAXREV,2004,25.885
CHE,TAXREV,2005,25.812
CHE,TAXREV,2006,25.585
CHE,TAXREV,2007,25.398
CHE,TAXREV,2008,25.784
CHE,TAXREV,2009,26.08
CHE,TAXREV,2010,25.62
CHE,TAXREV,2011,25.957
CHE,TAXREV,2012,25.879
CHE,TAXREV,2013,26.007
CHE,TAXREV,2014,25.908
CHE,TAXREV,2015,26.648
CHE,TAXREV,2016,26.64
CHE,TAXREV,2017,27.351
CHE,TAXREV,2018,26.814
CHE,TAXREV,2019,27.267
CHE,TAXREV,2020,27.532
CHE,TAXREV,2021,27.96
TUR,TAXREV,2000,23.478
TUR,TAXREV,2001,25.361
TUR,TAXREV,2002,23.826
TUR,TAXREV,2003,24.979
TUR,TAXREV,2004,23.088
TUR,TAXREV,2005,23.14
TUR,TAXREV,2006,23.371
TUR,TAXREV,2007,22.874
TUR,TAXREV,2008,22.961
TUR,TAXREV,2009,23.318
TUR,TAXREV,2010,24.654
TUR,TAXREV,2011,25.706
TUR,TAXREV,2012,24.76
TUR,TAXREV,2013,25.156
TUR,TAXREV,2014,24.457
TUR,TAXREV,2015,24.957
TUR,TAXREV,2016,25.128
TUR,TAXREV,2017,24.68
TUR,TAXREV,2018,23.983
TUR,TAXREV,2019,23.136
TUR,TAXREV,2020,23.862
TUR,TAXREV,2021,22.825
GBR,TAXREV,2000,32.744
GBR,TAXREV,2001,32.324
GBR,TAXREV,2002,31.472
GBR,TAXREV,2003,31.163
GBR,TAXREV,2004,32.128
GBR,TAXREV,2005,32.506
GBR,TAXREV,2006,32.747
GBR,TAXREV,2007,32.806
GBR,TAXREV,2008,32.038
GBR,TAXREV,2009,30.909
GBR,TAXREV,2010,31.96
GBR,TAXREV,2011,32.712
GBR,TAXREV,2012,31.977
GBR,TAXREV,2013,31.798
GBR,TAXREV,2014,31.458
GBR,TAXREV,2015,31.59
GBR,TAXREV,2016,32.189
GBR,TAXREV,2017,32.496
GBR,TAXREV,2018,32.414
GBR,TAXREV,2019,32.223
GBR,TAXREV,2020,32.108
GBR,TAXREV,2021,33.476
USA,TAXREV,2000,28.295
USA,TAXREV,2001,27.261
USA,TAXREV,2002,25.011
USA,TAXREV,2003,24.484
USA,TAXREV,2004,24.762
USA,TAXREV,2005,26.097
USA,TAXREV,2006,26.775
USA,TAXREV,2007,26.728
USA,TAXREV,2008,25.643
USA,TAXREV,2009,22.911
USA,TAXREV,2010,23.371
USA,TAXREV,2011,23.761
USA,TAXREV,2012,23.916
USA,TAXREV,2013,25.481
USA,TAXREV,2014,25.883
USA,TAXREV,2015,26.22
USA,TAXREV,2016,25.876
USA,TAXREV,2017,26.815
USA,TAXREV,2018,24.923
USA,TAXREV,2019,25.196
USA,TAXREV,2020,25.75
USA,TAXREV,2021,26.58
CHL,TAXREV,2000,18.718
CHL,TAXREV,2001,18.903
CHL,TAXREV,2002,18.94
CHL,TAXREV,2003,18.627
CHL,TAXREV,2004,19.112
CHL,TAXREV,2005,20.835
CHL,TAXREV,2006,22.114
CHL,TAXREV,2007,22.847
CHL,TAXREV,2008,21.403
CHL,TAXREV,2009,17.432
CHL,TAXREV,2010,19.72
CHL,TAXREV,2011,21.202
CHL,TAXREV,2012,21.323
CHL,TAXREV,2013,19.942
CHL,TAXREV,2014,19.699
CHL,TAXREV,2015,20.51
CHL,TAXREV,2016,20.223
CHL,TAXREV,2017,20.223
CHL,TAXREV,2018,21.282
CHL,TAXREV,2019,20.951
CHL,TAXREV,2020,19.375
CHL,TAXREV,2021,22.188
EST,TAXREV,2000,31.087
EST,TAXREV,2001,30.321
EST,TAXREV,2002,30.982
EST,TAXREV,2003,30.771
EST,TAXREV,2004,30.985
EST,TAXREV,2005,29.756
EST,TAXREV,2006,30.437
EST,TAXREV,2007,30.984
EST,TAXREV,2008,31.238
EST,TAXREV,2009,34.952
EST,TAXREV,2010,33.196
EST,TAXREV,2011,31.494
EST,TAXREV,2012,31.7
EST,TAXREV,2013,31.666
EST,TAXREV,2014,32.135
EST,TAXREV,2015,33.32
EST,TAXREV,2016,33.517
EST,TAXREV,2017,32.548
EST,TAXREV,2018,32.901
EST,TAXREV,2019,33.487
EST,TAXREV,2020,33.256
EST,TAXREV,2021,33.524
ISR,TAXREV,2000,34.129
ISR,TAXREV,2001,33.847
ISR,TAXREV,2002,33.016
ISR,TAXREV,2003,32.291
ISR,TAXREV,2004,32.342
ISR,TAXREV,2005,32.755
ISR,TAXREV,2006,33.358
ISR,TAXREV,2007,33.332
ISR,TAXREV,2008,31.422
ISR,TAXREV,2009,29.321
ISR,TAXREV,2010,30.258
ISR,TAXREV,2011,30.457
ISR,TAXREV,2012,29.616
ISR,TAXREV,2013,30.404
ISR,TAXREV,2014,30.709
ISR,TAXREV,2015,31.039
ISR,TAXREV,2016,30.997
ISR,TAXREV,2017,32.214
ISR,TAXREV,2018,30.728
ISR,TAXREV,2019,30.005
ISR,TAXREV,2020,29.564
ISR,TAXREV,2021,32.231
SVN,TAXREV,2000,37.699
SVN,TAXREV,2001,37.783
SVN,TAXREV,2002,38.282
SVN,TAXREV,2003,38.401
SVN,TAXREV,2004,38.462
SVN,TAXREV,2005,39.145
SVN,TAXREV,2006,38.687
SVN,TAXREV,2007,38.041
SVN,TAXREV,2008,37.302
SVN,TAXREV,2009,37.099
SVN,TAXREV,2010,37.788
SVN,TAXREV,2011,37.33
SVN,TAXREV,2012,37.638
SVN,TAXREV,2013,37.242
SVN,TAXREV,2014,37.179
SVN,TAXREV,2015,37.311
SVN,TAXREV,2016,37.385
SVN,TAXREV,2017,37.067
SVN,TAXREV,2018,37.239
SVN,TAXREV,2019,37.045
SVN,TAXREV,2020,37.183
SVN,TAXREV,2021,37.427
OAVG,TAXREV,2000,32.927
OAVG,TAXREV,2001,32.448
OAVG,TAXREV,2002,32.263
OAVG,TAXREV,2003,32.14
OAVG,TAXREV,2004,32.146
OAVG,TAXREV,2005,32.63
OAVG,TAXREV,2006,32.757
OAVG,TAXREV,2007,32.844
OAVG,TAXREV,2008,32.233
OAVG,TAXREV,2009,31.483
OAVG,TAXREV,2010,31.534
OAVG,TAXREV,2011,31.918
OAVG,TAXREV,2012,32.346
OAVG,TAXREV,2013,32.621
OAVG,TAXREV,2014,32.844
OAVG,TAXREV,2015,32.902
OAVG,TAXREV,2016,33.556
OAVG,TAXREV,2017,33.334
OAVG,TAXREV,2018,33.47
OAVG,TAXREV,2019,33.389
OAVG,TAXREV,2020,33.555
OAVG,TAXREV,2021,34.114
LVA,TAXREV,2000,29.05
LVA,TAXREV,2001,28.121
LVA,TAXREV,2002,27.815
LVA,TAXREV,2003,27.411
LVA,TAXREV,2004,27.548
LVA,TAXREV,2005,27.805
